expected_choice, decision
7,7.934779376283373
8,7.388200527585683
8,7.114784248411246
6,7.102172212964363
6,7.134460593388714
8,7.114784248411246
8,7.085719564856557
8,7.102172212964363
9,8.028821845263689
6,7.156027017163739
9,8.004245813451549
8,7.114784248411246
8,7.126860138536135
8,7.035686610341573
6,7.273419700503142
8,7.134460593388714
9,7.997620033710351
6,7.116701822049535
9,7.997620033710351
6,7.222264758805783
8,7.17595616010621
7,8.340820592897924
8,7.12852888426815
6,7.190876177324303
7,7.997620033710351
7,8.1214634247149
9,7.020603129721856
6,7.114784248411246
9,7.997620033710351
6,8.006531379054888
9,8.151330754361258
8,7.114784248411246
9,7.997620033710351
9,7.3521293352381365
8,7.114784248411246
9,7.842233717497391
8,7.109626895920651
9,8.019881048178604
6,7.1370267158398395
6,7.093815977450951
8,7.12852888426815
8,7.114784248411246
7,7.706057064067401
8,7.085719564856557
8,6.489206489530405
9,7.020603129721856
8,7.114784248411246
8,7.0967273798673745
6,7.05043160402065
8,7.197282703776033
6,7.171067963811281
6,7.47885708334962
6,7.273419700503142
8,7.037819368095078
8,7.190876177324303
9,7.693236169674319
8,7.114784248411246
8,7.134460593388714
8,7.049473277638877
8,7.189992173590374
8,7.12852888426815
8,7.12852888426815
8,7.114784248411246
6,7.114784248411246
8,7.114784248411246
6,7.643615312005869
9,7.535140798749656
7,8.099202410246646
6,7.114784248411246
8,7.114784248411246
8,7.577263483371941
8,7.020263650214626
6,7.054528260475052
9,8.011688731545483
6,7.109626895920651
7,7.985443996861946
6,7.114784248411246
8,7.1370267158398395
8,7.191909747228665
7,6.775007976960164
6,7.190876177324303
8,7.154975936605556
8,7.697899843162572
8,6.970182137419149
8,7.231547314036459
6,7.114784248411246
9,7.020603129721856
8,7.114784248411246
6,7.114784248411246
8,7.252048089019267
7,8.1214634247149
7,7.997620033710351
8,7.093815977450951
9,8.046848439654974
7,7.274023677602121
7,8.417160176174798
8,7.169907906364007
7,8.552712696374467
8,7.114784248411246
6,6.511514686687845
6,7.197067099719259
9,7.839822779488276
8,7.114784248411246
9,7.7891956703254355
8,7.221240146917495
6,7.085719564856557
6,7.114784248411246
8,7.308835580140813
8,7.697899843162572
6,7.148205229245617
6,7.279542477067494
6,7.420976468883928
7,7.619356534335031
6,7.114784248411246
6,7.114784248411246
6,7.175512187597631
6,7.114784248411246
8,7.134460593388714
6,7.085719564856557
9,7.842233717497391
9,7.904821228682106
6,7.916001239983409
8,7.697899843162572
9,7.842233717497391
8,7.196992417580305
6,7.114784248411246
8,7.191909747228665
8,8.061972678100947
6,7.020263650214626
6,7.134460593388714
7,7.997620033710351
9,7.902663436915255
7,7.997620033710351
8,7.114784248411246
7,7.697899843162572
9,7.997620033710351
9,7.020603129721856
7,7.841503477760649
8,7.697899843162572
6,7.414504438959025
8,7.102172212964363
7,8.019881048178604
7,7.839822779488276
6,7.121848557941831
6,7.114784248411246
7,7.781073758342785
6,7.142557005983107
7,7.997620033710351
8,7.114784248411246
9,7.902663436915255
8,7.114784248411246
6,7.093815977450951
8,7.231547314036459
8,7.12852888426815
9,7.997620033710351
8,7.941336318310316
9,7.535140798749656
9,7.84559728270713
9,7.997620033710351
8,7.114784248411246
6,7.189992173590374
7,8.1214634247149
8,7.17595616010621
7,7.985443996861946
8,7.114784248411246
7,7.997620033710351
8,7.054528260475052
8,7.134460593388714
6,7.130620189388109
8,7.102172212964363
7,8.083662808188501
8,7.31081148589945
9,7.94739973059709
8,7.114784248411246
6,7.134460593388714
6,7.114784248411246
9,7.982080431652206
7,8.019881048178604
8,7.114784248411246
7,7.842233717497391
6,7.114784248411246
6,7.102172212964363
6,6.435422757774789
6,7.114784248411246
8,7.135058746203443
6,6.99313707495215
7,7.982080431652206
8,7.020263650214626
9,8.167665943558802
6,7.114784248411246
9,7.94739973059709
8,7.1596743657709645
9,8.028821845263689
6,7.109626895920651
8,6.760746141288432
7,7.764825951554094
8,6.895356550442863
9,7.997620033710351
8,7.303884141514033
8,6.964749540320201
8,7.196992417580305
8,7.114784248411246
9,7.997620033710351
6,7.114784248411246
8,7.144105439392293
8,7.189992173590374
7,7.919239774225227
7,6.714325997147134
8,7.049473277638877
8,7.197067099719259
9,8.202234755867934
6,7.109626895920651
7,8.15750800740382
7,7.967661886109084
8,7.093815977450951
8,7.114784248411246
8,7.191909747228665
6,7.114784248411246
9,7.997620033710351
6,7.114784248411246
8,7.47885708334962
9,8.019881048178604
6,6.775007976960164
6,8.151535445700299
9,7.842233717497391
7,7.828859320027758
8,7.114784248411246
7,8.530451681906214
6,7.019827651616149
7,7.985443996861946
9,8.019881048178604
9,8.07651554071244
7,7.697899843162572
6,7.065147907555667
7,8.130404221799985
7,7.965981187836711
6,7.114784248411246
6,7.114784248411246
8,7.577263483371941
6,7.529167038385097
8,7.191909747228665
7,7.94739973059709
9,8.051082859731943
9,7.784674198918441
9,7.997620033710351
6,7.756669560395294
7,7.869274847206774
8,7.114784248411246
7,7.839822779488276
8,6.8356626888403
8,7.191909747228665
8,7.114784248411246
8,7.197282703776033
6,7.114784248411246
7,7.997620033710351
7,7.842233717497391
6,7.231547314036459
8,6.999356697899554
8,7.191909747228665
8,7.109626895920651
8,7.306275790697741
6,7.142557005983107
6,7.400178836858125
6,7.114784248411246
8,7.114784248411246
6,7.258574206107198
8,7.400178836858125
7,8.011752374987687
9,7.9242840377073405
9,8.530451681906214
6,7.114784248411246
6,7.189992173590374
9,8.283666415752254
7,7.978601542150429
8,7.17595616010621
8,7.093815977450951
9,8.099202410246646
8,7.189700795963113
8,7.114784248411246
7,7.230263255711282
6,7.116701822049535
6,6.963194035906213
7,7.842233717497391
9,8.028821845263689
8,7.025463576920363
6,7.129890998854337
9,8.21176047377912
7,8.004245813451549
7,8.530451681906214
8,7.941336318310316
7,7.997620033710351
8,7.109626895920651
6,7.114784248411246
9,7.84559728270713
8,7.273419700503142
6,7.114784248411246
9,7.414504438959025
8,6.435422757774789
8,7.114784248411246
7,7.997620033710351
9,7.839822779488276
